×Ö·û----GB-------Unicode------UTF-8
¡¢     a2a1      3001        e3-80-81 
¡£     a3a1      3002        e3-80-82 
¡¤     a4a1      00b7        e3-83-bb 
¡¥     a5a1      02c9        cb-89 
¡¦     a6a1      02c7        cb-87 
¡§     a7a1      00a8        c2-a8 
¡¨     a8a1      3003        e3-80-83 
¡©     a9a1      3005        e3-80-85 
¡ª     aaa1      2014        e2-80-95 
¡«     aba1      ff5e        ef-bd-9e 
¡¬     aca1      2016        e2-80-96 
¡­     ada1      2026        e2-80-a6 
¡®     aea1      2018        e2-80-98 
¡¯     afa1      2019        e2-80-99 
¡°     b0a1      201c        e2-80-9c 
¡±     b1a1      201d        e2-80-9d 
¡²     b2a1      3014        e3-80-94 
¡³     b3a1      3015        e3-80-95 
¡´     b4a1      3008        e3-80-88 
¡µ     b5a1      3009        e3-80-89 
¡¶     b6a1      300a        e3-80-8a 
¡·     b7a1      300b        e3-80-8b 
¡¸     b8a1      300c        e3-80-8c 
¡¹     b9a1      300d        e3-80-8d 
¡º     baa1      300e        e3-80-8e 
¡»     bba1      300f        e3-80-8f 
¡¼     bca1      3016        e3-80-96 
¡½     bda1      3017        e3-80-97 
¡¾     bea1      3010        e3-80-90 
¡¿     bfa1      3011        e3-80-91 
¡À     c0a1      00b1        c2-b1 
¡Á     c1a1      00d7        c3-97 
¡Â     c2a1      00f7        c3-b7 
¡Ã     c3a1      2236        e2-88-b6 
¡Ä     c4a1      2227        e2-88-a7 
¡Å     c5a1      2228        e2-88-a8 
¡Æ     c6a1      2211        e2-88-91 
¡Ç     c7a1      220f        e2-88-8f 
¡È     c8a1      222a        e2-88-aa 
¡É     c9a1      2229        e2-88-a9 
¡Ê     caa1      2208        e2-88-88 
¡Ë     cba1      2237        e2-88-b7 
¡Ì     cca1      221a        e2-88-9a 
¡Í     cda1      22a5        e2-8a-a5 
¡Î     cea1      2225        e2-88-a5 
¡Ï     cfa1      2220        e2-88-a0 
¡Ð     d0a1      2312        e2-8c-92 
¡Ñ     d1a1      2299        e2-8a-99 
¡Ò     d2a1      222b        e2-88-ab 
¡Ó     d3a1      222e        e2-88-ae 
¡Ô     d4a1      2261        e2-89-a1 
¡Õ     d5a1      224c        e2-89-8c 
¡Ö     d6a1      2248        e2-89-88 
¡×     d7a1      223d        e2-88-bd 
¡Ø     d8a1      221d        e2-88-9d 
¡Ù     d9a1      2260        e2-89-a0 
¡Ú     daa1      226e        e2-89-ae 
¡Û     dba1      226f        e2-89-af 
¡Ü     dca1      2264        e2-89-a4 
¡Ý     dda1      2265        e2-89-a5 
¡Þ     dea1      221e        e2-88-9e 
¡ß     dfa1      2235        e2-88-b5 
¡à     e0a1      2234        e2-88-b4 
¡á     e1a1      2642        e2-99-82 
¡â     e2a1      2640        e2-99-80 
¡ã     e3a1      00b0        c2-b0 
¡ä     e4a1      2032        e2-80-b2 
¡å     e5a1      2033        e2-80-b3 
¡æ     e6a1      2103        e2-84-83 
